Nome paese,Capitale distanza da Roma,Continente/regione,Valuta,Lingue officiali,Salario medio mensile lordo in euro (2022-2024),Salario mediano mensile lordo in euro (2022-2024),RAL media in euro (2024),% delle tasse dalla RAL media Salary After Tax,Crescita annuale nominale (%) riverede i dati,Crescita annuale reale (%),"Indicizzazione stipendi: si =1, no =0",Salario minimo 2025,Valore del mercato IT Euro,Indice potere di acquisto 2025 mid-year (Numbeo),Indice del costo della vita 2025 mid-year (Numbeo),Indice del costo dell'affitto 2025 mid-year (Numbeo),Indice della sicurezza 2025 mid-year (Numbeo),Indice qualita della vita  2025 mid-year (Numbeo),Indice di qualita della sanita 2025 mid-year (Numbeo),"Sanita: pubblica = 1, privata =0, mista = 0.1",English Proficiency Score 2024 (EF EPI),Indice di felicita Happy Planet Index
Germania,Berlino 1183km,EU,EUR,Tedesco,4346€ 1 (2025),"4.346,00€",52000 relocate.me,35.9%,4.8% 3,2.2% 4 news,0,12.82 EUR 6,"157,54 miliardi (2023) 4",144.3,64.7,25.4,60.4,195.2,71.7,0.1,598,45.7
UK,Londra 1434km,Europa,GPB,Inglese,3504 (2985 £) relocate.me,2740 (2342 £) 2,42150 (35828 £) relocate.me,18.2%,5.2% 3,1.4% 4,0,14.31 EUR (£12.21)  2,"138,87 miliardi (2023) 4",131.7,64.2,32.9,51.6,177.2,72.5,1,1000,49.5
Austria,Vienna 764km,EU,EUR,Tedesco,3204 relocate.me,2640. 2,38457 relocate.me,43%,4.5% 3,-,1,No salario minimo (contratti collettivi),"15,53 miliardi (2023) 4",122,67.6,25,71.7,197.7,78.5,0.1,600,45.3
Islanda,Reykjavik 3302km,Europa,ISK,Islandese,5278 (758000 ISK) (2023) 1,5243 (753000 ISK) (2023) 2,64065 (9200000 ISK)  3,24.79%,-,-0.7 4 news,0,No salario minimo (contratti collettivi),1.9 milliardi (2023) 4,124.3,94.5,50.1,74.2,198,67.9,1,1000,40.3
Spagna,Madrid 1364km,EU,EUR,Spagnolo,2245 relocate.me,1935 2,26950 relocate.me,20.6%,4% 3,1.9% 4 news,1,9.26 EUR 5,"45,40 miliardi (2023) 4",110.7,48.6,23.5,62.8,187.2,77.3,1,538,53
Francia,Parigi 1105km,EU,EUR,Francese,2630 2,2090 2,43592 https://data-explorer.oecd.org/vis?df[ds]=DisseminateFinalDMZ&df[id]=DSD_EARNINGS%40AV_AN_WAGE&df[ag]=OECD.ELS.SAE&dq=......&pd=2000%2C&to[TIME_PERIOD]=false,28.7%,0.5% 4,-,1,11.88 EUR 4,"105,92 miliardi (2023) 4",122.8,64.4,22,44.4,169.5,77.2,0.1,524,52
Canada,Ottawa 6729km,Nord America,CAD,"Inglese (56 %), Francese (22 %)",3322 relocate.me,,42080 (62660 C$) relocate.me,22.6%,4.3% 3,1.4% 4,0,11.10 EUR ($17.75) 4,"102,33 miliardi (2023) 4",123.6,60.7,31.9,54.2,170.5,68.6,1,1000,37.2
USA,"Washington, D.C. 7217km",Nord America,USD,Inglese,4521 relocate.me,4455 (5174$) 1 (2025),54262 (62800 $) relocate.me,19.4%,3.4% 3,1% 4,0,6.20 EUR ($7.25) 4,"1123,85 miliardi (2023) 4",163.4,64.8,41.3,50.8,192.1,67.5,0.1,1000,32.1
Giappone,Tokyo 9852km,Asia,JPY,Giapponese,2344 relocate.me,non pubblica la mediana,28137 relocate.me,18.8%,4.8% 3 news,0.6% 4 news,0,6.22 EUR (1054 JPY) 5,"272,17 miliardi (2023) 4",129.4,48.9,15.4,77.3,188.8,80.2,1,454,42.2
Australia,Canberra 16216km,Oceania,AUD,Inglese,4335 (7694 A$) relocate.me,non pubblica la mediana,56392 (100000 A$) relocate.me,22.8%,3.2% 3,0.9% 4 news,0,13.47 EUR ($24.10) 4,"74,35 miliardi (2023) 4",148.7,63,32.1,52.6,195.1,73.1,0.1,1000,39.5
Singapore,Singapore 10017km,Asia,SGD,"Inglese (48 %), Mandarino (30 %)",4581 (6555 S$) relocate.me,,55008 (78660 S$) relocate.me,22.9%,5.6% 3,3.2% 4,0,No salario minimo ,"57,50 miliardi (2023) 4",108,85.3,75.1,77.4,156.7,71.8,1,609,30.5
Nuova Zelanda,Wellington 18543km,Oceania,NZD,Inglese,5372 2,5372 2,59653 3,25.3%,3.3% 3,-,0,12.18 EUR ($23.50) 4,12.77 milliardi (2023) 4,140.5,59.3,26.1,51.5,194.7,68.1,1,1000,43.4
Corea del sud,Seul 8966km,Asia,KRW,Coreano,2212 (3500000 KRW)  1,2212 3500000 KRW/mese 1,47715 2,19.2%,2.9% 3,0.5% 4,0,6.34 EUR (10.030 KRW) 4,62.51 milliardi (2023) 4,122.2,62.4,17.7,73.1,153.5,82.8,1,523,38
,,,,,,,,,,,,,,,,,,,,,456,23.2
,,,,,,,,,,,,,,,,,,,,,421,-
,,,,,,,,,,,,,,,,,,,,,480,18.8
,,,,,,,,,,,,,,,,,,,,,417,29.3
,,,,,,,,,,,,,,,,,,,,,489,26.4
